GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jiangou,com.jiangou.tag.dto,TagDTO,212,0,38,0,5,0,32,0,13,0
jiangou,com.jiangou.comment.vo,CommentVO,550,0,94,0,13,0,75,0,28,0
jiangou,com.jiangou.comment.vo,CommentVO.CommentVOBuilder,146,0,0,0,1,0,14,0,14,0
jiangou,com.jiangou.upload.vo,AttachmentVO.AttachmentVOBuilder,110,0,0,0,1,0,11,0,11,0
jiangou,com.jiangou.upload.vo,AttachmentVO,412,0,70,0,10,0,57,0,22,0
jiangou,com.jiangou.note.dto,NoteDTO,126,0,22,0,3,0,20,0,9,0
jiangou,com.jiangou.system.controller,SystemAdminController,47,0,0,0,11,0,5,0,5,0
jiangou,com.jiangou.system.controller,SystemController,27,0,0,0,8,0,4,0,4,0
jiangou,com.jiangou.project.controller,ProjectPublicController,18,0,0,0,5,0,3,0,3,0
jiangou,com.jiangou.project.controller,ProjectAdminController,53,0,0,0,12,0,7,0,7,0
jiangou,com.jiangou.common.exception,ConflictException,6,0,0,0,2,0,1,0,1,0
jiangou,com.jiangou.common.exception,UnauthorizedException,6,0,0,0,2,0,1,0,1,0
jiangou,com.jiangou.common.exception,ForbiddenException,0,6,0,0,0,2,0,1,0,1
jiangou,com.jiangou.common.exception,ValidationException,0,6,0,0,0,2,0,1,0,1
jiangou,com.jiangou.common.exception,GlobalExceptionHandler,89,7,15,0,25,2,16,2,5,2
jiangou,com.jiangou.common.exception,NotFoundException,0,6,0,0,0,2,0,1,0,1
jiangou,com.jiangou.common.exception,BusinessException,3,7,0,0,1,3,1,1,1,1
jiangou,com.jiangou.tag.controller,TagAdminController,30,0,0,0,8,0,5,0,5,0
jiangou,com.jiangou.tag.controller,TagController,17,0,0,0,5,0,3,0,3,0
jiangou,com.jiangou.comment.service,CommentLikeService,117,0,18,0,20,0,13,0,4,0
jiangou,com.jiangou.comment.service,CommentService,860,0,102,0,197,0,70,0,19,0
jiangou,com.jiangou.auth.controller,AuthController,290,0,16,0,72,0,25,0,17,0
jiangou,com.jiangou.schedule.controller,RssAdminController,11,0,0,0,4,0,2,0,2,0
jiangou,com.jiangou.schedule.controller,RssController,10,0,0,0,4,0,2,0,2,0
jiangou,com.jiangou.system.entity,AuditLogEntity,384,0,70,0,9,0,56,0,21,0
jiangou,com.jiangou.system.entity,SystemSettingEntity,262,36,54,0,3,4,34,10,7,10
jiangou,com.jiangou.user.service,UserService,164,378,30,44,33,89,29,24,3,13
jiangou,com.jiangou.user.service,RoleService,212,116,18,8,44,27,23,7,12,5
jiangou,com.jiangou.schedule.service,RssService,194,0,8,0,33,0,8,0,4,0
jiangou,com.jiangou.subscription.entity,SubscriptionEntity,351,33,70,0,6,3,47,9,12,9
jiangou,com.jiangou.auth.vo,AuthVO.AuthVOBuilder,62,0,0,0,1,0,7,0,7,0
jiangou,com.jiangou.auth.vo,AuthVO.UserBriefVO,274,0,46,0,7,0,39,0,16,0
jiangou,com.jiangou.auth.vo,AuthVO,237,0,38,0,10,0,34,0,15,0
jiangou,com.jiangou.auth.vo,CaptchaVO.CaptchaVOBuilder,38,0,0,0,1,0,5,0,5,0
jiangou,com.jiangou.auth.vo,AuthVO.UserBriefVO.UserBriefVOBuilder,74,0,0,0,1,0,8,0,8,0
jiangou,com.jiangou.auth.vo,CaptchaVO,136,0,22,0,4,0,21,0,10,0
jiangou,com.jiangou.search.vo,SearchItemVO,274,0,46,0,7,0,39,0,16,0
jiangou,com.jiangou.search.vo,SearchItemVO.SearchItemVOBuilder,74,0,0,0,1,0,8,0,8,0
jiangou,com.jiangou.config,ProdEnvValidator,57,226,23,39,14,44,21,16,0,6
jiangou,com.jiangou.config,CorsProperties,137,0,18,0,3,0,18,0,9,0
jiangou,com.jiangou.config,MinioConfig.MinioProperties,255,0,46,0,6,0,38,0,15,0
jiangou,com.jiangou.config,StartupSecretGuard,76,0,6,0,11,0,6,0,3,0
